% 1. Title:
%      Board Game Weight Classification
% 
% 2. Sources:
%      (a) Board Game Geek (https://www.boardgamegeek.com/xmlapi)
%      (b) Data extracted 02/01/2016
% 
% 3. Past Usage:
%      - none known
% 
% 4. Relevant Information:
%      - BGG is a living database of all known published boardgames.
%      - This data set is just a small fraction of the total.
% 
% 5. Number of Instances:
%      4500
% 
% 6. Number of attributes (14 total):
%      1 (numeric) identifier
%      3 (numeric) game parameters
%      9 (boolean) subdomain classifications
%      1 (nominal) classification of weight
% 
% 7. Attribute Information:
%      1.  game identifier
%      2.  minimum players
%      3.  maximum players
%      4.  typical duration (in minutes)
%      5.  subdomain: abstract game
%      6.  subdomain: childrens game
%      7.  subdomain: customizable game
%      8.  subdomain: family game
%      9.  subdomain: party game
%      10. subdomain: strategy game
%      11. subdomain: thematic game
%      12. subdomain: wargame
%      13. (no subdomain)
%      14. class:
%          - LIGHT
%          - MEDIUM_LIGHT
%          - MEDIUM
%          - MEDIUM_HEAVY
%          - HEAVY
% 
% 8. Missing Attribute Values:
%      (none)
% 
% 9. Class Distribution:
%      LIGHT        :  1687  (37.489%)
%      MEDIUM_LIGHT :  1782  (39.600%)
%      MEDIUM       :   860  (19.111%)
%      MEDIUM_HEAVY :   154  ( 3.422%)
%      HEAVY        :    17  ( 0.378%)
% 

@RELATION boardgames

@ATTRIBUTE id NUMERIC
@ATTRIBUTE minp NUMERIC
@ATTRIBUTE maxp NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE abstract {Y,N}
@ATTRIBUTE childrens {Y,N}
@ATTRIBUTE customizable {Y,N}
@ATTRIBUTE family {Y,N}
@ATTRIBUTE party {Y,N}
@ATTRIBUTE strategy {Y,N}
@ATTRIBUTE thematic {Y,N}
@ATTRIBUTE wargames {Y,N}
@ATTRIBUTE no-subdomain {Y,N}
@ATTRIBUTE weight {LIGHT,MEDIUM_LIGHT,MEDIUM,MEDIUM_HEAVY,HEAVY}

@DATA
230,1,6,180,N,N,N,N,N,Y,N,N,N,MEDIUM
231,1,5,480,N,N,N,N,N,N,N,Y,N,MEDIUM
232,2,4,120,N,N,N,N,N,Y,N,N,N,MEDIUM
234,2,2,200,N,N,N,N,N,N,N,Y,N,MEDIUM
235,1,4,180,N,N,N,N,N,Y,Y,Y,N,MEDIUM
237,2,2,60,N,N,N,N,N,N,N,Y,N,MEDIUM
239,2,2,90,N,N,N,N,N,N,N,Y,N,MEDIUM_LIGHT
240,3,5,240,N,N,N,N,N,Y,N,Y,N,MEDIUM
241,1,6,180,N,N,N,N,N,Y,Y,N,N,MEDIUM
242,2,7,240,N,N,N,N,N,Y,Y,N,N,MEDIUM
243,2,2,12000,N,N,N,N,N,N,N,Y,N,HEAVY
244,2,8,120,N,N,N,N,N,Y,Y,N,N,MEDIUM
246,3,7,0,N,N,N,N,N,N,N,N,Y,MEDIUM_LIGHT
247,2,5,45,N,N,N,Y,N,N,N,N,N,LIGHT
248,3,5,240,N,N,N,N,N,Y,Y,N,N,MEDIUM
249,3,6,90,N,N,N,Y,N,Y,N,N,N,MEDIUM_LIGHT
250,2,7,360,N,N,N,N,N,Y,N,Y,N,MEDIUM
252,1,2,180,N,N,N,N,N,N,N,Y,N,MEDIUM_LIGHT
254,2,7,6000,N,N,N,N,N,N,N,Y,N,MEDIUM_HEAVY
255,2,2,150,N,N,N,N,N,N,N,Y,N,MEDIUM_LIGHT
256,3,5,45,N,N,N,Y,N,N,N,N,N,MEDIUM_LIGHT
257,3,7,45,N,N,N,Y,N,N,N,N,N,MEDIUM_LIGHT
258,2,6,30,N,N,N,Y,Y,N,N,N,N,LIGHT
259,2,6,60,N,N,N,N,N,Y,N,Y,N,MEDIUM_LIGHT
260,2,4,45,N,N,N,N,N,N,N,Y,N,MEDIUM_LIGHT
261,2,5,30,N,N,N,N,N,N,N,N,Y,LIGHT
